6058 lattice points in polytope (module generators)
0 Hilbert basis elements of recession monoid
11 vertices of polyhedron
0 extreme rays of recession cone
10 support hyperplanes of polyhedron (homogenized)

embedding dimension = 6
affine dimension of the polyhedron = 3
rank of recession monoid = 0 (polyhedron is polytope)

dehomogenization:
0 0 0 0 0 1 


module rank = 6058

***********************************************************************

6058 lattice points in polytope (module generators):
 13  0 13  0 49 1
 13  0 13  1 48 1
 13  0 13  2 47 1
 13  0 13  3 46 1
 13  0 13  4 45 1
 13  0 13  5 44 1
 13  0 13  6 43 1
 13  0 13  7 42 1
 13  0 13  8 41 1
 13  0 13  9 40 1
 13  0 13 10 39 1
 13  0 13 11 38 1
 13  0 13 12 37 1
 13  0 13 13 36 1
 13  0 13 14 35 1
 13  0 13 15 34 1
 13  0 13 16 33 1
 13  0 13 17 32 1
 13  0 13 18 31 1
 13  0 13 19 30 1
 13  0 13 20 29 1
 13  0 13 21 28 1
 13  0 13 22 27 1
 13  0 13 23 26 1
 13  0 13 24 25 1
 13  0 14  0 48 1
 13  0 14  1 47 1
 13  0 14  2 46 1
 13  0 14  3 45 1
 13  0 14  4 44 1
 13  0 14  5 43 1
 13  0 14  6 42 1
 13  0 14  7 41 1
 13  0 14  8 40 1
 13  0 14  9 39 1
 13  0 14 10 38 1
 13  0 14 11 37 1
 13  0 14 12 36 1
 13  0 14 13 35 1
 13  0 14 14 34 1
 13  0 14 15 33 1
 13  0 14 16 32 1
 13  0 14 17 31 1
 13  0 14 18 30 1
 13  0 14 19 29 1
 13  0 14 20 28 1
 13  0 14 21 27 1
 13  0 14 22 26 1
 13  0 14 23 25 1
 13  0 14 24 24 1
 13  0 15  0 47 1
 13  0 15  1 46 1
 13  0 15  2 45 1
 13  0 15  3 44 1
 13  0 15  4 43 1
 13  0 15  5 42 1
 13  0 15  6 41 1
 13  0 15  7 40 1
 13  0 15  8 39 1
 13  0 15  9 38 1
 13  0 15 10 37 1
 13  0 15 11 36 1
 13  0 15 12 35 1
 13  0 15 13 34 1
 13  0 15 14 33 1
 13  0 15 15 32 1
 13  0 15 16 31 1
 13  0 15 17 30 1
 13  0 15 18 29 1
 13  0 15 19 28 1
 13  0 15 20 27 1
 13  0 15 21 26 1
 13  0 15 22 25 1
 13  0 15 23 24 1
