1405 lattice points in polytope (module generators)
0 Hilbert basis elements of recession monoid
6 vertices of polyhedron
0 extreme rays of recession cone
8 support hyperplanes of polyhedron (homogenized)

embedding dimension = 6
affine dimension of the polyhedron = 3
rank of recession monoid = 0 (polyhedron is polytope)

dehomogenization:
0 0 0 0 0 1 


module rank = 1405

***********************************************************************

1405 lattice points in polytope (module generators):
 19  0 19  0 37 1
 19  0 19  1 36 1
 19  0 19  2 35 1
 19  0 19  3 34 1
 19  0 19  4 33 1
 19  0 19  5 32 1
 19  0 19  6 31 1
 19  0 19  7 30 1
 19  0 19  8 29 1
 19  0 19  9 28 1
 19  0 19 10 27 1
 19  0 19 11 26 1
 19  0 19 12 25 1
 19  0 19 13 24 1
 19  0 19 14 23 1
 19  0 19 15 22 1
 19  0 19 16 21 1
 19  0 19 17 20 1
 19  0 19 18 19 1
 19  0 20  0 36 1
 19  0 20  1 35 1
 19  0 20  2 34 1
 19  0 20  3 33 1
 19  0 20  4 32 1
 19  0 20  5 31 1
 19  0 20  6 30 1
 19  0 20  7 29 1
 19  0 20  8 28 1
 19  0 20  9 27 1
 19  0 20 10 26 1
 19  0 20 11 25 1
 19  0 20 12 24 1
 19  0 20 13 23 1
 19  0 20 14 22 1
 19  0 20 15 21 1
 19  0 20 16 20 1
 19  0 21  0 35 1
 19  0 21  1 34 1
 19  0 21  2 33 1
 19  0 21  3 32 1
 19  0 21  4 31 1
 19  0 21  5 30 1
 19  0 21  6 29 1
 19  0 21  7 28 1
 19  0 21  8 27 1
 19  0 21  9 26 1
 19  0 21 10 25 1
 19  0 21 11 24 1
 19  0 21 12 23 1
 19  0 21 13 22 1
 19  0 21 14 21 1
 19  0 22  0 34 1
 19  0 22  1 33 1
 19  0 22  2 32 1
 19  0 22  3 31 1
 19  0 22  4 30 1
 19  0 22  5 29 1
 19  0 22  6 28 1
 19  0 22  7 27 1
 19  0 22  8 26 1
 19  0 22  9 25 1
 19  0 22 10 24 1
 19  0 22 11 23 1
 19  0 22 12 22 1
 19  0 23  0 33 1
 19  0 23  1 32 1
 19  0 23  2 31 1
 19  0 23  3 30 1
 19  0 23  4 29 1
 19  0 23  5 28 1
 19  0 23  6 27 1
 19  0 23  7 26 1
 19  0 23  8 25 1
 19  0 23  9 24 1
 19  0 23 10 23 1
 19  0 24  0 32 1
 19  0 24  1 31 1
 19  0 24  2 30 1
 19  0 24  3 29 1
 19  0 24  4 28 1
 19  0 24  5 27 1
 19  0 24  6 26 1
 19  0 24  7 25 1
 19  0 24  8 24 1
 19  0 25  0 31 1
 19  0 25  1 30 1
 19  0 25  2 29 1
 19  0 25  3 28 1
 19  0 25  4 27 1
 19  0 25  5 26 1
 19  0 25  6 25 1
 19  0 26  0 30 1
 19  0 26  1 29 1
 19  0 26  2 28 1
 19  0 26  3 27 1
 19  0 26  4 26 1
 19  0 27  0 29 1
 19  0 27  1 28 1
 19  0 27  2 27 1
 19  0 28  0 28 1
 19  1 18  1 36 1
 19  1 18  2 35 1
 19  1 18  3 34 1
 19  1 18  4 33 1
 19  1 18  5 32 1
 19  1 18  6 31 1
 19  1 18  7 30 1
 19  1 18  8 29 1
 19  1 18  9 28 1
 19  1 18 10 27 1
 19  1 18 11 26 1
 19  1 18 12 25 1
 19  1 18 13 24 1
 19  1 18 14 23 1
 19  1 18 15 22 1
 19  1 18 16 21 1
 19  1 18 17 20 1
 19  1 18 18 19 1
 19  1 19  0 36 1
 19  1 19  1 35 1
 19  1 19  2 34 1
 19  1 19  3 33 1
 19  1 19  4 32 1
